outliers,auc,trials,sigma
325,0.2176148193729798,5,0.001
325,0.19414674029361095,6,0.001
325,0.17941949349796898,7,0.001
325,0.158360948287149,8,0.001
325,0.2044565059412522,9,0.001
350,0.1585804225324166,0,0.001
350,0.16621805417121935,1,0.001
350,0.1736532714262426,2,0.001
350,0.15982425556129928,3,0.001
350,0.16261559145651325,4,0.001
350,0.17835074445253468,5,0.001
350,0.1790654773085275,6,0.001
350,0.1623198498609356,7,0.001
350,0.16853201484907596,8,0.001
350,0.1644463678554537,9,0.001
375,0.16194331955024702,0,0.001
375,0.1647909161405324,1,0.001
375,0.18250397639535212,2,0.001
